Title,Authors,Source Title,Publication Year,Volume,Issue,Beginning Page,Ending Page,DOI,Total Citations
Vegetation effects on floating treatment wetland nutrient removal and harvesting strategies in urban stormwater ponds,"Wang, Chih-Yu; Sample, David J.; Bell, Cameron",SCIENCE OF THE TOTAL ENVIRONMENT,2014,499,,384,393,10.1016/j.scitotenv.2014.08.063,23
Framework and Tool for Rapid Assessment of Stream Susceptibility to Hydromodification,"Bledsoe, Brian P.; Stein, Eric D.; Hawley, Robert J.; Booth, Derek",JOURNAL OF THE AMERICAN WATER RESOURCES ASSOCIATION,2012,48,4,788,808,10.1111/j.1752-1688.2012.00653.x,23
Floating wetland mesocosm assessment of nutrient removal to reduce ecotoxicity in stormwater ponds,"Chang, N. B.; Islam, M. K.; Wanielista, M. P.",INTERNATIONAL JOURNAL OF ENVIRONMENTAL SCIENCE AND TECHNOLOGY,2012,9,3,453,462,10.1007/s13762-012-0061-7,23
Watershed-scale analysis of pollutant distributions in stormwater management ponds,"Gallagher, Matthew T.; Snodgrass, Joel W.; Ownby, David R.; Brand, Adrianne B.; Casey, Ryan E.; Lev, Steven",URBAN ECOSYSTEMS,2011,14,3,469,484,10.1007/s11252-011-0162-y,23
Modeling and Sizing Bioretention Using Flow Duration Control,"Palhegyi, Gary E.",JOURNAL OF HYDROLOGIC ENGINEERING,2010,15,6,417,425,10.1061/(ASCE)HE.1943-5584.0000205,23
Ecological risk assessment of zinc from stormwater runoff to an aquatic ecosystem,"Brix, Kevin V.; Keithly, James; Santore, Robert C.; DeForest, David K.; Tobiason, Scott",SCIENCE OF THE TOTAL ENVIRONMENT,2010,408,8,1824,1832,10.1016/j.scitotenv.2009.12.004,23
"Impact of wildfire on source water contributions in Devil Creek, CA: evidence from end-member mixing analysis","Jung, Helen Y.; Hogue, Terri S.; Rademacher, Laura K.; Meixner, Tom",HYDROLOGICAL PROCESSES,2009,23,2,183,200,10.1002/hyp.7132,23
Projections of 21st Century Sierra Nevada Local Hydrologic Flow Components Using an Ensemble of General Circulation Models,"Ficklin, Darren L.; Stewart, Iris T.; Maurer, Edwin P.",JOURNAL OF THE AMERICAN WATER RESOURCES ASSOCIATION,2012,48,6,1104,1125,10.1111/j.1752-1688.2012.00675.x,22
The rain-runoff response of tropical humid forest ecosystems to use and reforestation in the Western Ghats of India,"Krishnaswamy, Jagdish; Bonell, Michael; Venkatesh, Basappa; Purandara, Bekal K.; Lele, Sharachchandra; Kiran, M. C.; Reddy, Veerabasawant; Badiger, Shrinivas; Rakesh, K. N.",JOURNAL OF HYDROLOGY,2012,472,,216,237,10.1016/j.jhydrol.2012.09.016,22
The importance of habitat design and aquatic connectivity in amphibian use of urban stormwater retention ponds,"Hamer, Andrew J.; Smith, Phoebe J.; McDonnell, Mark J.",URBAN ECOSYSTEMS,2012,15,2,451,471,10.1007/s11252-011-0212-5,22
Particulate phosphorus transformations in south Florida stormwater treatment areas used for Everglades protection,"Dierberg, Forrest E.; DeBusk, Thomas A.",ECOLOGICAL ENGINEERING,2008,34,2,100,115,10.1016/j.ecoleng.2008.07.013,22
Riverine transport of biogenic elements to the Baltic Sea - past and possible future perspectives,"Humborg, C.; Morth, C. -M.; Sundbom, M.; Wulff, F.",HYDROLOGY AND EARTH SYSTEM SCIENCES,2007,11,5,1593,1607,10.5194/hess-11-1593-2007,22
An experimental seasonal hydrological forecasting system over the Yellow River basin - Part 2: The added value from climate forecast models,"Yuan, Xing",HYDROLOGY AND EARTH SYSTEM SCIENCES,2016,20,6,2453,2466,10.5194/hess-20-2453-2016,21
Soil bioretention protects juvenile salmon and their prey from the toxic impacts of urban stormwater runoff,"McIntyre, J. K.; Davis, J. W.; Hinman, C.; Macneale, K. H.; Anulacion, B. F.; Scholz, N. L.; Stark, J. D.",CHEMOSPHERE,2015,132,,213,219,10.1016/j.chemosphere.2014.12.052,21
Pesticide Mass Budget in a Stormwater Wetland,"Maillard, Elodie; Imfeld, Gwenael",ENVIRONMENTAL SCIENCE & TECHNOLOGY,2014,48,15,8603,8611,10.1021/es500586x,21
Isotopic tracing of clear water sources in an urban sewer: A combined water and dissolved sulfate stable isotope approach,"Houhou, J.; Lartiges, B. S.; France-Lanord, C.; Guilmette, C.; Poix, S.; Mustin, C.",WATER RESEARCH,2010,44,1,256,266,10.1016/j.watres.2009.09.024,21
Urban wet environment as mosquito habitat in the upper midwest,"Irwin, Patrick; Arcari, Christine; Hausbeck, John; Paskewitz, Susan",ECOHEALTH,2008,5,1,49,57,10.1007/s10393-007-0152-y,21
Disposition of rainwater under creosotebush,"Abrahams, AD; Parsons, AJ; Wainwright, J",HYDROLOGICAL PROCESSES,2003,17,13,2555,2566,10.1002/hyp.1272,21
Designing constructed wetlands to remove phosphorus from barnyard runoff: A comparison of four alternative substrates,"Hill, CM; Duxbury, J; Geohring, L; Peck, T",JOURNAL OF ENVIRONMENTAL SCIENCE AND HEALTH PART A-TOXIC/HAZARDOUS SUBSTANCES & ENVIRONMENTAL ENGINEERING,2000,35,8,1357,1375,10.1080/10934520009377040,21
Hydrologic balance for a subtropical treatment wetland constructed for nutrient removal,"Guardo, M",ECOLOGICAL ENGINEERING,1999,12,3-4,315,337,10.1016/S0925-8574(98)00076-7,21
Hydrodynamic Modeling of Wetlands for Flood Detention,"Tsihrintzis, Vassilios A.; John, David L.; Tremblay, Paul J.",WATER RESOURCES MANAGEMENT,1998,12,4,251,269,10.1023/A:1008031011773,21
Rehabilitation of concrete canals in urban catchments using low impact development techniques,"Palanisamy, Bakkiyalakshmi; Chui, Ting Fong May",JOURNAL OF HYDROLOGY,2015,523,,309,319,10.1016/j.jhydrol.2015.01.034,20
Structure and ecosystem services of small-leaved lime (Tilia cordata Mill.) and black locust (Robinia pseudoacacia L.) in urban environments,"Moser, A.; Roetzer, T.; Pauleit, S.; Pretzsch, H.",URBAN FORESTRY & URBAN GREENING,2015,14,4,1110,1121,10.1016/j.ufug.2015.10.005,20
Impacts of urbanization on river flow frequency: A controlled experimental modeling-based evaluation approach,"Chu, M. L.; Knouft, J. H.; Ghulam, A.; Guzman, J. A.; Pan, Z.",JOURNAL OF HYDROLOGY,2013,495,,1,12,10.1016/j.jhydrol.2013.04.051,20
Assessing biological and chemical signatures related to nutrient removal by floating islands in stormwater mesocosms,"Chang, Ni-Bin; Islam, Kamrul; Marimon, Zachary; Wanielista, Martin P.",CHEMOSPHERE,2012,88,6,736,743,10.1016/j.chemosphere.2012.04.030,20
"Wetland system network analysis for environmental flow allocations in the Baiyangdian Basin, China","Yang, Zhifeng; Mao, Xufeng",ECOLOGICAL MODELLING,2011,222,20-22,3785,3794,10.1016/j.ecolmodel.2011.09.013,20
Nutrient removal and greenhouse gas emissions in duckweed treatment ponds,"Sims, Atreyee; Gajaraj, Shashikanth; Hu, Zhiqiang",WATER RESEARCH,2013,47,3,1390,1398,10.1016/j.watres.2012.12.009,19
Stormwater nitrogen removal performance of a floating treatment wetland,"Borne, Karine E.; Tanner, Chris C.; Fassman-Beck, Elizabeth A.",WATER SCIENCE AND TECHNOLOGY,2013,68,7,1657,1664,10.2166/wst.2013.410,19
Nutrient and dissolved organic carbon removal from natural waters using industrial by-products,"Wendling, Laura A.; Douglas, Grant B.; Coleman, Shandel; Yuan, Zheng",SCIENCE OF THE TOTAL ENVIRONMENT,2013,442,,63,72,10.1016/j.scitotenv.2012.10.008,19
More amphibians than expected in highway stormwater ponds,"Le Viol, Isabelle; Chiron, Francois; Julliard, Romain; Kerbiriou, Christian",ECOLOGICAL ENGINEERING,2012,47,,146,154,10.1016/j.ecoleng.2012.06.031,19
Management scenario evaluation for a large treatment wetland using a spatio-temporal phosphorus transport and cycling model,"Paudel, Rajendra; Min, Joong-Hyuk; Jawitz, James W.",ECOLOGICAL ENGINEERING,2010,36,12,1627,1638,10.1016/j.ecoleng.2010.06.012,19
Storm water detention ponds: Modeling heavy metal removal by plant species and sediments,"Weiss, Jeffrey D.; Hondzo, Miki; Semmens, Michael",JOURNAL OF ENVIRONMENTAL ENGINEERING-ASCE,2006,132,9,1034,1042,10.1061/(ASCE)0733-9372(2006)132:9(1034),19
Sediment management in sustainable urban drainage system ponds,"Heal, Kv.; Hepburn, D. A.; Lunn, R. J.",WATER SCIENCE AND TECHNOLOGY,2006,53,10,219,227,10.2166/wst.2006.315,19
HESS Opinions Catchments as meta-organisms - a new blueprint for hydrological modelling,"Savenije, Hubert H. G.; Hrachowitz, Markus",HYDROLOGY AND EARTH SYSTEM SCIENCES,2017,21,2,1107,1116,10.5194/hess-21-1107-2017,18
Impacts of a Rapidly Declining Mountain Snowpack on Streamflow Timing in Canada's Fraser River Basin,"Kang, Do Hyuk; Gao, Huilin; Shi, Xiaogang; ul Islam, Siraj; Dery, Stephen J.",SCIENTIFIC REPORTS,2016,6,,,,10.1038/srep19299,18
Hydrologic conditions drive denitrification and greenhouse gas emissions in stormwater detention basins,"McPhillips, Lauren; Walter, M. Todd",ECOLOGICAL ENGINEERING,2015,85,,67,75,10.1016/j.ecoleng.2015.10.018,18
The role of pollutant accumulation in determining the use of stormwater ponds by amphibians,"Gallagher, Matthew T.; Snodgrass, Joel W.; Brand, Adrianne B.; Casey, Ryan E.; Lev, Steven M.; Van Meter, Robin J.",WETLANDS ECOLOGY AND MANAGEMENT,2014,22,5,551,564,10.1007/s11273-014-9351-9,18
The capacity of roadside vegetated filter strips and swales to sequester carbon,"Bouchard, Natalie R.; Osmond, Deanna L.; Winston, Ryan J.; Hunt, William F.",ECOLOGICAL ENGINEERING,2013,54,,227,232,10.1016/j.ecoleng.2013.01.018,18
Monitoring Nitrogen Loading and Retention in an Urban Stormwater Detention Pond,"Rosenzweig, Bernice R.; Smith, James A.; Baeck, Mary Lynn; Jaffe, Peter R.",JOURNAL OF ENVIRONMENTAL QUALITY,2011,40,2,598,609,10.2134/jeq2010.0300,18
"Spatial variability of soil and nutrient characteristics of semi-arid grasslands and shrublands, Jornada Basin, New Mexico","Mueller, Eva Nora; Wainwright, John; Parsons, Anthony J.",ECOHYDROLOGY,2008,1,1,3,12,10.1002/eco.1,18
Contaminant exposure and effects in red-winged blackbirds inhabiting stormwater retention ponds,"Sparling, DW; Eisemann, JD; Kuenzel, W",ENVIRONMENTAL MANAGEMENT,2004,33,5,719,729,10.1007/s00267-003-0058-6,18
Incorporating Hydrologic Data and Ecohydrologic Relationships into Ecological Site Descriptions,"Williams, C. Jason; Pierson, Frederick B.; Spaeth, Kenneth E.; Brown, Joel R.; Al-Hamdan, Osama Z.; Weltz, Mark A.; Nearing, Mark A.; Herrick, Jeffrey E.; Boll, Jan; Robichaud, Peter R.; Goodrich, David C.; Heilman, Phillip; Guertin, D. Phillip; Hernandez, Mariano; Wei, Haiyan; Hardegree, Stuart P.; Strand, Eva K.; Bates, Jonathan D.; Metz, Loretta J.; Nichols, Mary H.",RANGELAND ECOLOGY & MANAGEMENT,2016,69,1,4,19,10.1016/j.rama.2015.10.001,17
"Where does all the water go? Partitioning water transmission losses in a data-sparse, multi-channel and low-gradient dryland river system using modelling and remote sensing","Jarihani, Abdollah A.; Larsen, Joshua R.; Callow, John N.; McVicar, Tim R.; Johansen, Kasper",JOURNAL OF HYDROLOGY,2015,529,,1511,1529,10.1016/j.jhydrol.2015.08.030,17
Hotspots'' and Hot Moments'' of Denitrification in Urban Brownfield Wetlands,"Palta, Monica M.; Ehrenfeld, Joan G.; Groffman, Peter M.",ECOSYSTEMS,2014,17,7,1121,1137,10.1007/s10021-014-9778-0,17
The use of crustaceans as sentinel organisms to evaluate groundwater ecological quality,"Marmonier, Pierre; Maazouzi, Chafik; Foulquier, Arnaud; Navel, Simon; Francois, Clementine; Hervant, Frederic; Mermillod-Blondin, Florian; Vieney, Antonin; Barraud, Sylvie; Togola, Anne; Piscart, Christophe",ECOLOGICAL ENGINEERING,2013,57,,118,132,10.1016/j.ecoleng.2013.04.009,17
Improving the performance of stormwater detention basins by real-time control using rainfall forecasts,"Gaborit, E.; Muschalla, D.; Vallet, B.; Vanrolleghem, P. A.; Anctil, F.",URBAN WATER JOURNAL,2013,10,4,230,246,10.1080/1573062X.2012.726229,17
Molecular weight distribution of phosphorus fraction of aquatic dissolved organic matter,"Ged, Evan C.; Boyer, Treavor H.",CHEMOSPHERE,2013,91,7,921,927,10.1016/j.chemosphere.2013.01.113,17
Modeling post-fire water erosion mitigation strategies,"Rulli, M. C.; Offeddu, L.; Santini, M.",HYDROLOGY AND EARTH SYSTEM SCIENCES,2013,17,6,2323,2337,10.5194/hess-17-2323-2013,17
Ecological research for aquatic science and environmental restoration in south Florida,"Redfield, GW",ECOLOGICAL APPLICATIONS,2000,10,4,990,1005,10.1890/1051-0761(2000)010[0990:ERFASA]2.0.CO;2,17
Designing living walls for greywater treatment,"Fowdar, Harsha S.; Hatt, Belinda E.; Breen, Peter; Cook, Perran L. M.; Deletic, Ana",WATER RESEARCH,2017,110,,218,232,10.1016/j.watres.2016.12.018,16
The Urban Environment Can Modify Drought Stress of Small-Leaved Lime (Tilia cordata Mill.) and Black Locust (Robinia pseudoacacia L.),"Moser, Astrid; Roetzer, Thomas; Pauleit, Stephan; Pretzsch, Hans",FORESTS,2016,7,3,,,10.3390/f7030071,16
"Stormwater-related transport of the insecticides bifenthrin, fipronil, imidacloprid, and chlorpyrifos into a tidal wetland, San Francisco Bay, California","Weston, Donald P.; Chen, Da; Lydy, Michael J.",SCIENCE OF THE TOTAL ENVIRONMENT,2015,527,,18,25,10.1016/j.scitotenv.2015.04.095,16
Climate Change and Hydrological Response in the Trans-State Oologah Lake Watershed-Evaluating Dynamically Downscaled NARCCAP and Statistically Downscaled CMIP3 Simulations with VIC Model,"Qiao, Lei; Hong, Yang; McPherson, Renee; Shafer, Mark; Gade, David; Williams, David; Chen, Sheng; Lilly, Douglas",WATER RESOURCES MANAGEMENT,2014,28,10,3291,3305,10.1007/s11269-014-0678-z,16
Bioretention Design for Xeric Climates Based on Ecological Principles,"Houdeshel, C. Dasch; Pomeroy, Christine A.; Hultine, Kevin R.",JOURNAL OF THE AMERICAN WATER RESOURCES ASSOCIATION,2012,48,6,1178,1190,10.1111/j.1752-1688.2012.00678.x,16
"Modeling methane emissions from the Alaskan Yukon River basin, 1986-2005, by coupling a large-scale hydrological model and a process-based methane model","Lu, Xiaoliang; Zhuang, Qianlai",JOURNAL OF GEOPHYSICAL RESEARCH-BIOGEOSCIENCES,2012,117,,,,10.1029/2011JG001843,16
Estimation of nitrogen dynamics in a vertical-flow constructed wetland,"Ouyang, Y.; Luo, S. M.; Cui, L. H.",ECOLOGICAL ENGINEERING,2011,37,3,453,459,10.1016/j.ecoleng.2010.11.008,16
Laboratory study highlights the key influences of stormwater sediment thickness and bioturbation by tubificid worms on dynamics of nutrients and pollutants in stormwater retention systems,"Mermillod-Blondin, F.; Nogaro, G.; Vallier, F.; Gibert, J.",CHEMOSPHERE,2008,72,2,213,223,10.1016/j.chemosphere.2008.01.052,16
Tree Species Suitability to Bioswales and Impact on the Urban Water Budget,"Scharenbroch, Bryant C.; Morgenroth, Justin; Maule, Brian",JOURNAL OF ENVIRONMENTAL QUALITY,2016,45,1,199,206,10.2134/jeq2015.01.0060,15
The influence of urbanisation on macroinvertebrate biodiversity in constructed stormwater wetlands,"Mackintosh, Teresa J.; Davis, Jenny A.; Thompson, Ross M.",SCIENCE OF THE TOTAL ENVIRONMENT,2015,536,,527,537,10.1016/j.scitotenv.2015.07.066,15
Comparison of stormwater biofiltration systems in Southeast Australia and Southern California,"Ambrose, Richard F.; Winfrey, Brandon K.",WILEY INTERDISCIPLINARY REVIEWS-WATER,2015,2,2,131,146,10.1002/wat2.1064,15
"Comparison of Runoff Quality and Quantity from a Commercial Low- Impact and Conventional Development in Raleigh, North Carolina","Wilson, C. E.; Hunt, W. F.; Winston, R. J.; Smith, P.",JOURNAL OF ENVIRONMENTAL ENGINEERING,2015,141,2,,,10.1061/(ASCE)EE.1943-7870.0000842,15
"Water Sources and Hydrodynamics of Closed-Basin Depressions, Cook Inlet Region, Alaska","Rains, Mark C.",WETLANDS,2011,31,2,377,387,10.1007/s13157-011-0147-x,15
Understanding wetland sub-surface hydrology using geologic and isotopic signatures,"Sikdar, P. K.; Sahu, P.",HYDROLOGY AND EARTH SYSTEM SCIENCES,2009,13,7,1313,1323,10.5194/hess-13-1313-2009,15
"Nitrogen and phosphorus mass balance, retention and uptake in six plant species grown in stormwater bioretention microcosms","Rycewicz-Borecki, Malgorzata; McLean, Joan E.; Dupont, R. Ryan",ECOLOGICAL ENGINEERING,2017,99,,409,416,10.1016/j.ecoleng.2016.11.020,14
Hydrologic Regimes Revealed Bundles and Tradeoffs Among Six Wetland Services,"Doherty, James M.; Miller, Jeffrey F.; Prellwitz, Stephanie G.; Thompson, Anita M.; Loheide, Steven P., II; Zedler, Joy B.",ECOSYSTEMS,2014,17,6,1026,1039,10.1007/s10021-014-9775-3,14
"Field tracer investigation of unsaturated zone flow paths and mechanisms in agricultural soils of northwestern Mississippi, USA","Perkins, Kim S.; Nimmo, John R.; Rose, Claire E.; Coupe, Richard H.",JOURNAL OF HYDROLOGY,2011,396,1-2,1,11,10.1016/j.jhydrol.2010.09.009,14
Surface Water Sulfate Dynamics in the Northern Florida Everglades,"Wang, Hongqing; Walclon, Michael G.; Meselhe, Ehab A.; Arceneaux, Jeanne C.; Chen, Chunfang; Harwell, Matthew C.",JOURNAL OF ENVIRONMENTAL QUALITY,2009,38,2,734,741,10.2134/jeq2007.0455,14
Re-thinking wastewater landscapes: combining innovative strategies to address tomorrow's urban wastewater treatment challenges,"Smith, B. R.",WATER SCIENCE AND TECHNOLOGY,2009,60,6,1465,1473,10.2166/wst.2009.473,14
Groundwater and surface-water interactions in a confined alluvial aquifer between two rivers: effects of groundwater flow dynamics on high iron anomaly,"Promma, Kitchakarn; Zheng, Chunmiao; Asnachinda, Pongpor",HYDROGEOLOGY JOURNAL,2007,15,3,495,513,10.1007/s10040-006-0110-8,14
Long-term assessment at field scale of Floating Treatment Wetlands for improvement of water quality and provision of ecosystem services in a eutrophic urban pond,"Olguin, Eugenia J.; Sanchez-Galvan, Gloria; Melo, Francisco J.; Hernandez, Victor J.; Gonzalez-Portela, Ricardo E.",SCIENCE OF THE TOTAL ENVIRONMENT,2017,584,,561,571,10.1016/j.scitotenv.2017.01.072,13
Coho salmon spawner mortality in western US urban watersheds: bioinfiltration prevents lethal storm water impacts,"Spromberg, Julann A.; Baldwin, David H.; Damm, Steven E.; McIntyre, Jenifer K.; Huff, Michael; Sloan, Catherine A.; Anulacion, Bernadita F.; Davis, Jay W.; Scholz, Nathaniel L.",JOURNAL OF APPLIED ECOLOGY,2016,53,2,398,407,10.1111/1365-2664.12534,13
"Bioaccumulation of copper, lead, and zinc in six macrophyte species grown in simulated stormwater bioretention systems","Rycewicz-Borecki, Malgorzata; McLean, Joan E.; Dupont, R. Ryan",JOURNAL OF ENVIRONMENTAL MANAGEMENT,2016,166,,267,275,10.1016/j.jenvman.2015.10.019,13
Response of flow regimes to deforestation and reforestation in a rain-dominated large watershed of subtropical China,"Liu, Wenfei; Wei, Xiaohua; Fan, Houbao; Guo, Xiaomin; Liu, Yuanqiu; Zhang, Mingfang; Li, Qiang",HYDROLOGICAL PROCESSES,2015,29,24,5003,5015,10.1002/hyp.10459,13
The fingerprints of urban nutrients: dynamics of phosphorus speciation in water flowing through developed landscapes,"Song, Keunyea; Xenopoulos, Marguerite A.; Marsalek, Jiri; Frost, Paul C.",BIOGEOCHEMISTRY,2015,125,1,1,10,10.1007/s10533-015-0114-3,13
Stimulation of fecal bacteria in ambient waters by experimental inputs of organic and inorganic phosphorus,"Chudoba, Elizabeth A.; Mallin, Michael A.; Cahoon, Lawrence B.; Skrabal, Stephen A.",WATER RESEARCH,2013,47,10,3455,3466,10.1016/j.watres.2013.03.047,13
Benzo(a)pyrene inhibits the role of the bioturbator Tubifex tubifex in river sediment biogeochemistry,"Mermillod-Blondin, F.; Foulquier, A.; Gilbert, F.; Navel, S.; Montuelle, B.; Bellvert, F.; Comte, G.; Grossi, V.; Fourel, F.; Lecuyer, C.; Simon, L.",SCIENCE OF THE TOTAL ENVIRONMENT,2013,450,,230,241,10.1016/j.scitotenv.2013.02.013,13
A model of phosphorus cycling to explore the role of biomass turnover in submerged aquatic vegetation wetlands for Everglades restoration,"Juston, John M.; DeBusk, Thomas A.; Grace, Kevin A.; Jackson, Scott D.",ECOLOGICAL MODELLING,2013,251,,135,149,10.1016/j.ecolmodel.2012.12.001,13
